sentiment,text,label
neutral,Compare to mi A1 the phone performance is little bit slower,1
negative,"ADPnews - Aug 3 , 2009 - Finnish media group Ilkka-Yhtyma Oyj HEL : ILK2S said today its net profit fell 45 % on the year to EUR 5.9 million USD 8.4 m in the first half of 2009 .",0
positive,Thickness is more otherwise it's ok.,2
positive,Missing ear phone other wise phone was too better and good,2
neutral," YAY! Thanks for the #followfriday. #FAILFriday is still winning, though.",1
negative,Processor was to old you gave new processor,0
positive,Nice,2
negative,RT @TheXclass: #GOPDebate taught us that it's OK to buy Democracy and sacrifice Other Peoples Kids in WAR! to make the whole thing profitab…,0
positive,"The pilot project proved that RIFD technology is ideal for our purposes '' , comments Olli Saarinen , Material Handling Supervisor at Yara .",2
negative,"That's a qualification? #reaching #GOPdebates #shevotes RT @ninatypewriter: ""I'm the only one that separates Siamese twins."" ~Dr. Ben Carson",0
neutral,looking for my self... be right back.,1
positive,Best mobile for gaming and multitasking. Battery last for almost 1 and half day for rough usage and 2 days for normal usage. camera quality is ultimate.,2
positive,🙂,2
positive,Superb phone with latest technology,2
negative,Camera quality is nt soo good . Touch is slow . Price is high ..,0
positive,"Fingerprint reader is best, camera quality is good can be better, battery life is best. Overall performance is more than expectation. Samsung is always samsung.",2
positive,Nice,2
neutral,Full hanging too much hanging pls solve this problem remaining everything ok awesome,1
positive,Every thing is good little bit battery improve,2
neutral,"`` Method and System for Controlling a Hard Disk Drive Using a Multimediacard Physical Interface '' was invented by Marko Ahvenainen Ruutana , Finland .",1
positive,Nice superb phone,2
positive,"Best phone at this price and huge 5000mah battery
Is good and its comes with fast charger and type-a port its makes phone much better than any phones at this segment",2
neutral,Everything is Excellent apart from battery backup but charging speed is faster than ever .. and the company should work on fixing bug..,1
positive,Camera quality is good,2
positive,"Great battery life,responsive(I don't play games on my mobile), all my apps work great.
I restart once a week to optimize apps.
So far very happy.",2
neutral,Can't expect more for the price. Looks premium with the gorilla glass back and camera layout. Decent display quality. Not the best camera though. Feels a little heavy. It heated up a little while setting up the phone. Have to see how it performs in the long run.,1
neutral,"Product deliveries will not be interrupted , the refiner said , giving no financial details .",1
neutral,i dont have my iphone until maybe next week!,1
negative,Worst product. Very bad camera and display don't buy it.,0
positive,"Camera quality not good,.. otherwise on this budget ok if u want a vivo mobile on low budget",2
neutral, but but but. I want steak,1
neutral,Seems really quiet tonight...am jealous of those who are clearly having a more exciting life than me   Off to bed I think...,1
positive,Mast,2
positive,It would be good if it had more battery capacity,2
negative,"Assfuck, 'I`m sorry' roll. Okay I gave in.  I`m such a sucker.  http://twitpic.com/677xt",0
positive," All-Rounder phone, impressive..",2
negative,"Bakvas camera quality hai........is se to achha koi aur phone leleta me.......
Memory card sirf 5din hi chalta hai bad me autometic band ho jata hai.
Do bar ak hi problem aaya......bogas.....bogas.......bogas.....",0
positive, I want to chat with you in Im some day.,2
positive,Love  you samsung...already i had j5 prime...then this one...its camera quality is better than other mobiles and battery power 5000 mah once it charged no need to charge whole day even you using data....figer print also  very sensitive....,2
negative,"Mobile is good  but network fluctuation issue in this device, internet speed down to2g and network bars 2or3 shows all time ,and also data speed fluctuates between 2g to 4g .I'm very disappointed.",0
negative,  Your such a riot!!    You go girl!!,0
neutral,It was truly amazing how derogatory the #GOPDebate was towards women. They didn't even try to apologize.,1
positive,"The camera is brilliant overall ,the wide angle shots must be its highlight and for all you power bankers,don't even bother about your phone dying on the run.
Upgraded to Pie and phone works seamlessly,developer options are better. All in all a phone worth every rupee spent.",2
positive,"Amazing phone, especially considering the price point. The camera is great! And battery last atleast 1 n half days even with heavy usage.",2
positive,Excellent product. Robust battery. Largest capacity by far. Great camera. Loved it.,2
positive,Camera,2
neutral,will be attending CIC`s parents` orientation tomorrow...need to wake up early,1
neutral, this is the end of the semester so i am really busy... have got no time for twitting  what a pity cause i love it,1
positive,"A great phone with features what i was looking out for. My needs were
Good battery
Dedicated memory card slot
Double SIM
Reasonable camera for outdoors and selfies with friends
Good RAM and internal storage
Reasonably good processor.
Good display
Ease of use - good UI
Samsung Galaxy M30 ticked all my above requirements and is a great companion. I can down load as many apps without fear of space. I am not a gamer so processing speed is fine for my browsing requirement. Now upgraded to Android Pie. Very happy with the buy.",2
positive,Very nice mobile,2
positive,Worth buying this phone in given price 10k,2
negative,It is not friendly user mobile,0
negative,"Battery life is worst. We are 5 friends bought this mobile together in same day, we feel it  had worst battery. There is no recording option inbuilt. Caller id automatically get hide and we need to set it many time. It is common problem.",0
positive,Everything is good,2
positive,"I am using it and I feel comfortable with this camera quality is good,  finger print sensor & face detection require some good updates rest all very nice product with Samsung brand .",2
negative,RT @catie__warren: As a reminder. Less than 3 percent of what #PlannedParenthood does deals with abortions. But this debate won't tell you …,0
positive,I am having an issue with this phone. The network goes on and off frequently when I use net. I need a fix solution.,2
negative,Phone get not charged .As the corona issue exist no chance for warranty claiming through samsung authorised service centres..,0
positive,Ok,2
negative,Charging super... mobile speed 100% ok but camera very very worst... camera very very irritation... photograph interesting peoples not pay this mobile... very very bad camera clarity,0
positive,Awesome purchase. Phone looks great. Thanks to Amazon packaging and fast delivery. Camera quality is very good. Battery life is ok. Overall performance is great!,2
positive,Fabulous phone on this Budget,2
neutral,"The employer , together with health personnel , supports quitting and pays part of the cost of nicotine treatments .",1
neutral,"Display is not good in light, battery runs hardly for a day.
Good camera
Fast processing",1
negative,"RT @reneelegendre: Just got sent this #GOPDebate screenshot from my sister. I mean, COME ON! #golfcoursesarenotcredentials http://t.co/c3Nt…",0
positive,Amazing mobile with best camera features.happy me,2
negative,"Worst phone ever made by Samsung, every time, it gets stuck, very slow finger print sensor, camera will take much time to focus, even a 5000rs phone is better than this.",0
negative,Finger printer ok but camera quality and battery not satisfied,0
positive, haha good phone conversation cat lady! You`re gonna be homeless too  you didn`t tell me u were having coffee!! coming tomorrow?,2
negative,Camera quality is not up to mark,0
neutral,"RT @learjetter: 3:15 hr #Learjet flight earlier, #Dallas to #Monterrey #California. Missed the #GOPDebates, who shined? @Lrihendry @healtha…",1
negative,"It heats up very quickly while charging.
It went on to indefinite loop of restarting last week... it happened for the whole day.
Not worth the marketing it does about the quality",0
neutral,"Avg phone....
Touch is avg....
Camera Avg
Sound-Good
Picture Quality-Good....

A lot of improvement is required",1
positive,"Fantastic mobile, camera, battery n speed charger. Features good. But too many unnecessary apps full of ads. Volume keys could be better on right side",2
positive,"Awesome phone with all the quality of a performance smartphone. I was sad after watching too many gaming reviews, because this phone is not only for gaming. For daily usage and task performing it is totally a beast in every manner. Thankyou Redmi and Amazon.",2
negative,"In a media advisory , the NTSB said that after subsequent testing , `` the train detection system intermittently failed . ''",0
positive,Good product,2
positive,Nice phone,2
negative,I'm not interested this product I want to replace my mobile OnePlus 7T. My OnePlus 7T was hanging in first week before 7days.,0
positive,Super,2
positive,Excellent budget phone which work smooth with Gcam.,2
positive,Vivo U10 its very nice phone with great features. Delivered timely. Thanks Amazon.,2
neutral,Not satisfied,1
negative,"Bought on 12th June. Not even two months of usage-and the board has gone kaput. Doesn't switch on. Doesn't charge. Bought it for my parents.

Took it to the service centre they repaired it. Said problem was with the board.

Again 1.5 months later. Same issue. Switched off. Not charging. Not working. This time the service center has replaced the board.

4 months 2 repairs. Let's see what happens next.

Didn't expect this from Samsung at all.",0
positive,Good,2
neutral," Looks like you did the full Lincoln Marathon yesterday? That is awesome, the HM was tough for me",1
negative,Fake products,0
negative,The product does not detect sim card or wifi. Unable to return also.,0
positive,Good but not the best,2
neutral,"I got my first ever Samsung, even though  i dint like due to my friends suggestion i got it . The main drawback is the volume is reducing automatically while in call and out of 10 call 1 is getting problem while earing and taking",1
positive,Excellent. Just go for it.,2
positive,The touch interface and the speed is awesome. Love the camera and the picture quality. The battery life is not what I expected but is still quite good.,2
negative,RT @RWSurferGirl: After @GovChristie hugged Obama he doesn't deserve to be on the stage tonight. 🇺🇸 #GOPDebates  #GOPDebates,0
negative,"****don't buy this product****** , phone re-start with all data and apps erased , you will be no where once it restarts ,
Happed with me today , my phone restated while turning on Bluetooth and phone restarated by its own erasing all my data , apps with factory reset. Very disappointed with Xiaomi.",0
neutral,having a reli gd holiday .. buh now have to revise  x,1
neutral,"I purchased this product by exchange. After using this mobile for 5 days I am facing signal problem and I have complaint about this issue to customer care they exchange mobile and today I got that new mobile. After inserting SIM cards iam trying to call then my mobile gets heating and when iam charging mobile it gets more heat.
About this issue I have complaint to care they said that battery temperature more than 45degrees then only they will help us. When my mobile was normal it's temperature was 37 degrees and after putting charge it's temperature rises to 43 degrees within 30 minutes. If I put charging upto battery that temperature will cross 45 degrees. But customer care people saying that when your mobile gets 45 degrees temperature then call us we can help you. Now we can't help you. They are saying like that. Very waste of service Amazon.",1
positive,Very nice mobile worth buying for this price,2
neutral,  do you remember them all.... do not take that as a challenge to!,1
negative,"Poor in fingerprints reading.
Battery is just satisficatory.
Camera quality is good",0
neutral,Been using this phone for a few months now camera doesn't work anymore whenever I click on camera just a blank screen shows up..battery performance is not as expected...overall a OK phone but there are better options out there than this one,1
neutral,Finger print scanner is slow then back side finger print scanner,1
positive,"I brought M31 (6GB RAM, 128 GB) week back. Good battery, camera quality is good and happy with the mobile performance.",2
negative,"The touch screen and UI of this phone is not good.

The touch screen stop working at certain times.",0
negative,Bakbaas phone only battery backup is nice baki sab bakbaas hai,0
positive,Fingerprint reader is very fast but camera quality is not better than note 7 pro,2
negative,"Very wrost product, battery drain very fast also its operation is not easy as compared to other, voice not reachable in weak signal. Overall very bad experience.",0
positive,I like this phone,2
positive,Battery backup nice display is very nice,2
positive,Best price,2
positive,Great product,2
positive,"Good Phone. Everything is good by look wise , camera quality focus range and Face lock. The only features lacking is the battery life. It looks that after updating the phone it seems that battery life is going down. Standby time reduced from 24 hours to 12 hours.",2
negative,Dont prefer,0
positive," i think it`s fun, you gotta hide, and defend from your enemy, fun huh?",2
neutral,Good,1
neutral,The Finnish company Stockmann has signed the contract with the company Technopolis .,1
positive,"We-Ko-Pa has been prominently listed as one of the places to play if you are in Arizona.  I first played it several years ago, and it has become one of my favorite desert courses in Arizona.   There are two courses - Cholla, and Saguaro, and although they are both desert courses, they are somewhat different. The cholla course is an older, more mature course and doesn't have the same feel as the Saguaro course.  The Saguaro course can be walked, but has a wild side to it and to me, seems to have more elevation changes. That said, both courses are immaculate, wonderful condition, and a joy to play.

Over the years, I have played the Saguaro course more, but lately the Cholla course has grown on me.  Now when my golfing buddies come down, I always make it a point to play both courses with them.  This has led to some interesting memories.  

The first time we played, despite my warnings, one of the players wandered off the Saguaro course and found a Jumping Cholla.  He liked it so much, he brought it back to us - stuck all down one side of his body.  It took us quite a while to get them off of him - and then he wanted us to give him extra strokes. Not a chance.

Another time, one of my friends teed off on a par 3 on the Cholla course, and hit it into a dry creek bed. He seemed to lose his composure, and hit five provisionals, which also went into the desert. Then he found his first ball, and ended up with a par!!  Of course, we haven't let him forget the five provisionals...

I have read some comments about the marshals on the course, and in the past would agree. However, the last two times we played, the marshals have been very good - very courteous and very helpful.  The last time, while we were playing cart path only, one of the players was very slow (as usual) and the female marshal most diplomatically asked us to speed up.  She was one of the nicest, most courteous marshals I have had experience with, and consequently, one of the most effective.

The courses have a nice driving range, chipping and sand area, and putting greens. Unfortunately, they no longer allow you to use them, unless you are playing one of the courses (you used to be able to pay a daily fee to use them).

Finally, the service is friendly and courteous - from the drop off, to the restaurant, to the desk personnel, I have had nothing but pleasant experiences with the employees.

I think any golfer should experience these courses at least once - a visit would be well worth it.",2
positive,Every thing is fantastic,2
negative,"don't go for this one. It hangs too much.
Bought 3 mobile for family member and all of them hangs too much.
Oppo/Mi are much better than this.",0
positive,"This phone is amazing. Best thing is that  M30 is fast for face recognition, fingerprint recognition and never hang. Display is ultimate for vedios watching. And best of this phone is battery life and camera. I just love this phone.",2
neutral,Front camera quality is totally worst according to mp rang,1
neutral,phone is gr8 super very bueatyful but camera is not good. M30s camera quality is bad blow avreg,1
neutral,Profit after taxes totaled EUR 12.1 mn .,1
negative,Worst product,0
negative,'my name is Tony!!!!!! ...not hey!!!!' -  poor tony,0
positive,"I am using the 6gb ram 128gb memory which i bought it for inr 2.4k just after the launched. For a heavy gamer i thought of buying new phone, i didn't find any for my purpose but this only, I would say that for 1.9k it is the greatest phone for a heavy gamer. Thank you.",2
negative,Not good,0
positive,Mega phone with memory booster and battery  life is good and camera quality  also good,2
positive,best in the budget,2
positive,Lokkwise feture s are agood,2
positive,Every thing is perfect Galaxy m30 is a great phone and price is very low thanks samsung,2
negative,_beanz **** sorry to hear that tina...,0
positive,Super machi,2
positive,"The battery life is very satisfactory, camera at this price is very good, one of Samsung's most cost effective model. I presonally love the gradation black shade, gives a very trendy and decent look. Other features of the phone do justice to the price, anyone who wants Samsung and the price range is around 15K should definitely purchase this.",2
neutral,No 4G direct video call!! What a mess! Clearly over priced. Display is stunning. Performance stunning. Average battery backup. Over hiped device as usual!! Worst RAM management! Only 2GB RAM is free out of 8GB in most optimized state with all the back ground applications are closed. Next upgrade should solve the RAM management problem and Direct 4G video call feature. Camera is good but not ground breaking at this price tag and as hyped by the company.,1
negative,Most dumb phone.its get overhead while using any app. No good battery backup and it is too slow. Please don't buy this product as I am suffering a lot.,0
positive,"I love that Goober will deliver direct to your door!!  The are affordable, convenient and include free bones with your order.

The only reason why I do not rate them as a 5 star is that several times they have had to call me to let me know they are out of a product I ordered online.",2
positive,Very Nice product.It has bring me Joy and satisfaction after using it.Paisa wasool.,2
neutral,Yes,1
positive,"I have stopped in here for lunch and drinks a few times now. The teriyaki beef/chicken and bulgolgi have great flavor (I prefer the spicy versions). Their bowl meals come with plenty of meat and rice, while the bento meals also come with macaroni and slaw. These are affordable dishes and excellent for a lunch of easy take-out dinner. In addition, the meals are big enough that two people could split one.

The other item that I really like here is the boba. The milk tea and Thai iced tea both have a nice tea flavor and are not overly sweet like some places. Hence, it's also a nice place to pass by for a drink.",2
neutral,Picture quality is poor-,1
positive,"The BF and I got coffee here last night as part of the coffee tour of Phoenix!!. The coffee was alright, not too acidic, but not the most flavorful coffee, but the main reason for the 4 star review is they are open late and they deliver! How awesome! The people who work there were all friendly. The ice cream looked good...will have to try in the future.",2
negative,"Speakers not working properly, fingar not working",0
positive,nice phone,2
positive,"WOW!!! A real European bakery!  This was awesome, after having lunch next door at La Buona Pasta we took home some kalachi's and walnut roll home for later.  The cakes are varied and everything looks buttery good and sweet.  Having grown up near a Swedish bakery it kind of remind me of that--donuts, cakes, cheesecakes, breads and other European specialties.  The shop is also set up with a small section of Polish-centric groceries.  mmmm maybe I will have to learn to cook some Polish dishes.  Next special occasion my cake is coming from there.  :-)

The one we visited is 
13331 W. Indian School Rd.
Litchfield Park, AZ 85340 USA
623-547-4655",2
positive,"Superb phone by Samsung. Rear camera is awesome,front camera is good.
Battery life is superb too.
Dual Lte phone is one of the best features.",2
neutral,Broke the laptop again...,1
positive,very good finishing good battery bacup,2
positive,Nice phone,2
negative,"Doesnt fit correctly and it have scratches, so please do not buy this .. its a waste product",0
positive,Good but sounds expensive.,2
positive,"Excellent mobile from Redmi. Everything is upto mark. Camera, finger print, battery, processor. No heating issue. Go for it.",2
neutral,As per the phone is concerned good battery life  ok camera not so good in dim light  but te touch is very smooth and the display is very good with antiscratch glass  no need to apply a screen guard,1
positive,"A good phone in terms of camera, screen, sound & specs. Guess no other phone is available for this price with 8GB RAM & 128GB ROM with two-side gorilla glass. Stock ear-phones are awesome & provides crystal clear sound, enjoyed watching movies with earphones on. Phone works in dual VOLTE mode which means you can use your JIO+Airtel in parallel with any of the sim open for data. (ex: if your airtel data is activated, you can still use Jio sim to make/receive calls). Also separate slot for SIMs & SD card, which means you can upgrade to 256gb ROM & still get to use both SIMs (most current phones have common slot for Sim2 & SD). Fast charger does a good job, battery is decent & one whole day uses 80% max. Operation has been smooth so far, no delay or hang. All cameras did a good job. Though the price is not that aggressive, its not very cheap either. But attractive exchange price & No-cost EMI helps the buyer with dual advantage (got 6k for my 3 yrs old Lenovo K5 Note Vibe which I purchased for 11.5k three years back! .. now thats a deal).

Phone came with applied screen-guard & premium leather pouch. OPPO has ensured completeness in its offering leaving no room for the buyer to go to phone accessories shop!

I was originally planning for Oneplus 7, but bigger RAM & attractive offers floored me here.

In short, I am happy with my Oppo Reno2f",2
positive,Look is very interesting,2
positive,Better performance about above mention category in this price section.  Awesome.....,2
positive,Good,2
negative,"Touch not working after 20 GB of internal memory Is full, every time need to delete data or backup",0
negative,It's hanging,0
positive,Camera is bit sluggish......overall amazing phone as I am one lover of One plus....,2
positive,Gaylee is great! She is super sweet and so professional! Her work is amazing. I found her through one of those online deals and now I am convinced that I will never go elsewhere. Keep up the great work!,2
negative,Bummed that F! F! F! broke up,0
positive,Nice phone with required  features. Worth buy,2
negative, following 865 and followers 539...not nice,0
negative,Battery performance is not as expected.  Full charged battery gets at 20% at day end.  Am not playing any games except Facebook use.,0
positive,Good product,2
neutral,Fingerprint is very slow and battery drains too fast. Camera quality is very good.,1
positive,I liked the mobile ...the configuration is great in this price range....photo quality is ok...look wise good..,2
positive,"This is the fastest, coolest, colourful smartphone at tis price",2
positive,"One of the best product from One plus after one plus one. This phone exceed expectations in all department whether it's battery life, or cell reception quality, or speaker or mind blowing camera or never dying battery",2
positive,"OnePlus 7T is an amazing product , it really feels
great while using it.
The only thing which is not that great about the phone is it's battery life while using it at 90Hz . Other than that you would love it .",2
negative,"Samsung M20 is a substandard product very very poor quality. In 20 days the display malfunctioned. Samsung service centre at Dadar opined that it happened due to a fall. I insisted that the mobile never fell. They then said the LCD has cracked due to it being pressed. This is ridiculous. They quoted me ₹4750 for replacement and I've brought the phone is just 1 month back. The service manager flatly said to speak to call centre. Disappointed ... not expected such a service from Samsung.

My complaint no is 4283096822",0
positive,Worth the money spent. Thanks Amazon!,2
positive,Nice amazing mobile. I used for 2 weeks. And it's working so fine. Processor is good. Camara is also good. Best part is bettery capacity and super amoled screen which give you best UI interface. Thank you samsung.,2
positive,Best phone for me love it ❤️,2
neutral,"  The website I`m developing - http://woo.sh lets you also share Videos, documents, maps and events - Later music too",1
negative,Camera not a good,0
neutral,Battery backup not good battery drainage very fast,1
negative,Primary speaker problem,0
neutral,Camera  very bad not clear vision,1
neutral,The Mobile Is Okk Selfie camera is okk loudspeaker and sound is low.. take more charging time. But Samsung brand thtsway its taking more Price then others.. in This Price many Mobile giving Many Features and Best Camera..,1
positive,"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",2
neutral,"Body looks nice. Battery not very long lasting. Lots of bloatware, and a lot of it cannot be removed.  Display is no match for an amoled screen like samsung phones, having switched from Samsung m30 I am really disappointed with display of this phone. The UI is not very intuitive, you swipe from bottom up to display setting etc. Not played any game on it so far but performance seems smooth (I have 6 gb version). Camera is actually very good on default settings. Sound not up to the mark. I think this should sell for 1500 rupees less than current asking price.",1
positive,Nice cemra,2
positive,"Thanks to Amazon ! 👍
The phone is definitely a True Value For money with great features.....
The mobile is definitely an eye-catcher due to its Premium finish, Slim body, Bezel less screen and the Double shaded back panel (I got a Gradation Blue Variant for me !)
The volume and power buttons are placed rightly and are easy to access.
Camers has 16 MP + 3 MP + 3MP Triple camera which captures Amazing shots !
With 7 different modes, you can choose the best one according to the scene being clicked. There's a button for Wide Angle which instantly widens the scene to be captured. I have attached the shots of the ceiling with and without Wide Angle Mode. Besides, the stickers and beauty modes work superb to get attractive selfie too.
6.4 inch Super AMOLED display is brilliant and a small U shaped notch adds to the attraction of its infinity display... The touch and interface is super smooth too and the brightness level is very efficient. You don't need to set it to full brightness when you are outside even in the afternoon.
With it's huge 4GB RAM and 64GB Storage, it's very easy to perform as many tasks as you want without any lag. The phone performs flawlessly without any lag or heating. You can activate Pop up window setting and it will make your Multi Tasking lot more easy and interesting too.
Battery sure is a huge one, i.e.5000mAh, but I didn't feel it sufficient enough to last for 24 hours even. Maybe, it's due to network issues or maybe I have to watch it again after some more charge..
The Face recognition works great !
Fingerprint sensor is quick and responsive.
The audio quality of the speaker and the earpiece is good.
Overall, I feel it is an Amazing phone in this price and I am very satisfied with it's overall performance. It completely justifies it's price. I would strongly recommend this device to everyone looking for a Superb mobile in a moderate budget. Go for it and Thank me later !",2
negative,RT @RWSurferGirl: Why doesn't Chris Wallace ask the other politicans about their finances and where their money comes from? 🇺🇸 #GOPDebate  …,0
positive,good,2
negative,"Pathetic replacement policy ,there is a performance issue with the phone, a technical visit arranged to check the performance, but it didn't happen and status got changed to complete. Amazon is not ready to replace the phone now. There is no refund or replacement policy for this phone.",0
positive,Ear phones and back covers are included in the box...?,2
positive,"Some hits and some misses.

Hits : bruschetta and salads

Misses: Pizzas other then the margherita (luckily though I got the scrumptious tomato and mozzarella pizza)

Great service and pretty good food.",2
negative,It gets hang... First time m not liking one plus... Otherwise I was the Fan of one plus,0
negative,"The phone gets heated up, while getting  charged as well as during phone call. This is really not expected.. I don't  know whether this is the issue  with my device or with the series of this phone.. I don't  know how to deal with this.. I will ho you service center of problem persist for long.",0
positive,"I got this phone on 25th aug.
Based on one week experience---
Camera --camera is superb ,pic quality is amazing
Battery life is quite satisfying..I use all the day by charging it one time
fingerprint reader is bit slow but ok
Conclusion is that if you are planning to buy phone in under 15k prince range then this phone is best ... unbeatable in this price range...look is just amazing specially the white one which I got.",2
positive,Good picture on quality sound,2
negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates",0
neutral,I bought this mobile with great expectation. Everything is good except battery life . From day one I get only max screen on time 5 hours that too with display at 60hz. I am not a heavy user.,1
positive,Dump your worries in the Stress Fire. Fun and profoundly freeing  http://budurl.com/c765,2
positive,Nice purchase,2
positive,5 STAR FOR ALL  1. Camera quality 2. sound quality  3. performance quality  4.setting & guest er  -THE BEST,2
neutral,"Battery life not so good, phone lagging issue",1
negative,The biggest disappointment from the #GOPDebate is that more time was spent talking about gay marriage than on improving the economy.,0
positive,Every thing is good but ok camera..google camera is decent,2
positive,One dislike is .Chrome finish side of the body looking very cheap...Otherwise moonlight white color is the best ever...Pls change the chrome finish ..,2
negative,It seems it an refurbished Phone.waste of total money,0
positive,Itz all fab in this new samsung m20. Itz cheap and its functions are trully fab. I am loving it. After so many weeks of heavy usage it is showing fabulous performance yet...,2
positive,Amazing😍😍,2
positive,"Finger print reader is very good. Quackly unlock the phone. Camera quality absolutely great. Zoom quality, live focus click so Many tools help for best click. Battery life is good.",2
neutral,Nice one,1
negative,"Phone lags,lots of problems,phone automatically goes to flight mode",0
negative,"After update pie is not good and
Bettery is 5 out of -5
Bad bettery",0
negative,fully laggy in pubg .pubg players dont buy dhis phone jai pubg,0
positive,awwww bless her  she needs another chance.,2
negative,If u r buying bcoz of48 mp camera don't buy.. photo quality like vga... pixellates a lot.. huge cheating with camera while boasting 48mp..other features okay..,0
negative,I have replace it two time but got defective product both of the time,0
positive,"Amazing phone with a class camera, Overall vry good phn",2
positive,"The company booked April-June new orders worth 949 mln eur , compared with 786 mln eur in the same period a year ago .",2
negative,"I m sorry but I m not satisfied with camera,(my side) picture are ok
Battery is verygood
No notification light
Display is too good /very happy
Good mobile phone",0
neutral,only drawback is battery backup is too poor and accessories not received in box.,1
neutral,I really need a job.,1
neutral,"Phone is good but too much heating problem during call , have raised a complaint with Amazon for return and replace",1
positive,"Looking good
Performance good
Budget phone",2
positive,Phone has fast fingerprint sensor & very good camera though at night it's not that good .. Battery life is good .....that's a product value for money,2
negative, Sorry Ali,0
negative,"Worst service battery issue
But not return option",0
positive,"Phone is good
Camera is fabulous
Sleek and shiny
But it have some minor overheating problem while using 4k camera",2
negative,Congrats @FoxNews... the  #GOPDebates were harder to watch than the rape scene in IRREVERSIBLE.,0
negative,"M30s phone's front and selfie  camera is not good, only average",0
positive,"Still working fine.
Camera is out standing performance.
Great mobile..",2
negative,Please don't buy display too worst,0
positive,Nice mobile,2
neutral,Nice,1
negative,"RT @hoonurse: Hey America, after the #GOPDebate, this about sums it up... http://t.co/4M0MskR83h",0
negative,It baffles me how much Radio Shack isn`t the same Radio Shack I grew up with,0
positive,"Everything is good but whenever I see a update notification i can't clear from dashboard. Almost every smart phone added the feature of data consumption in dashboard ,but samsung couldn't till now. But why ?",2
neutral,phone hanging,1
